"","Maker","Model","Type","Fuel","Price","Cylinders","Displacement","DriveWheel","BHP","Torque","Acceleration","TopSpeed","MPG","Weight","Length","Width","Height","AdaptiveHeadlights","AdjustableSteering","AlarmSystem","Automatic","Bluetooth","ClimateControl","CruiseControl","ElectricSeats","Leather","ParkingSensors","PowerSteering","SatNav","ESP","Origin"
"BMW X6","BMW","X6","X6 xDrive50i 5d","Petrol",10.9666453602198,8,8.38822281011928,"4WD",6.01126717440416,6.0913098820777,5.4,5.00394630594546,22,2265,4877,1983,1690,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","optional","standard","Europe"
"BMW Z4","BMW","Z4","Z4 sDrive28i M Sport 2d","Petrol",10.5135248263731,4,7.59940133341582,"Rear",5.50125821054473,5.55295958492162,5.7,5.04342511691925,41,1490,4239,1790,1291,"no","standard","no/optional","optional","optional","no","optional","optional","standard","optional","standard","optional","standard","Europe"
"Bugatti Veyron","Bugatti","Veyron","Veyron 8.0 W16 Grand Sport 2d","Petrol",13.9465256623894,16,8.98632143762602,"4WD",6.89467003943348,6.82654522355659,2.5,5.52942908751142,10,1990,4462,1998,1204,"no","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Caterham CSR","Caterham","CSR","CSR 2.3 260 260","Petrol",10.714306651468,4,7.72356247227797,"Rear",5.56068163101553,5.29831736654804,3.1,5.04342511691925,NA,575,3300,1685,1140,"no","no","no/optional","no","no","no","no","no","optional","no","no","no","no","Europe"
"Caterham Super 7","Caterham","Super 7","Seven 1.6 125 Roadsport 2d","Petrol",10.043032079974,4,7.37525577800975,"Rear",4.8283137373023,4.78749174278205,5.9,4.71849887129509,NA,550,3380,1575,1115,"no","no","no/optional","no","no","no","no","no","optional","no","no","no","no","Europe"
"Chevrolet Aveo","Chevrolet","Aveo","Aveo 1.3 VCDi 75 LT 5d 2012","Diesel",9.44026090756942,4,7.12929754892937,"Front",4.31748811353631,4.9416424226093,14.1,4.61512051684126,74,1172,4039,1735,1517,"no","standard","no/optional","no","standard","no","standard","no","no","no","standard","no","standard","USA"
"Chevrolet Camaro","Chevrolet","Camaro","Camaro 6.2 V8 Standard 2d Convertible","Petrol",10.5965097252829,8,8.72615667915661,"Rear",6.06842558824411,6.03787091992214,5.6,5.04342511691925,20,1890,4836,1918,1376,"no","no","no/optional","optional","no","standard","no","no","no","no","no","no","standard","USA"
"Chevrolet Captiva","Chevrolet","Captiva","Captiva 2.2 VCDi 184 4WD LT 5d","Petrol",10.2290071704672,4,7.71020519443253,"4WD",5.21493575760899,5.68697535633982,9.3,4.82028156560504,42,1855,4675,1850,1725,"standard","no","standard","optional","standard","standard","standard","no","no","standard","standard","no","standard","USA"
"Chevrolet Cruze","Chevrolet","Cruze","Cruze 2.0 VCDi LS 4d","Diesel",9.72136597574484,4,7.5963923040642,"Front",4.8283137373023,5.39816270151775,10.3,4.80402104473326,51,1427,4597,1788,1477,"no","standard","standard","no","no","no","no","no","no","standard","standard","no","standard","USA"
"Chevrolet Orlando","Chevrolet","Orlando","Orlando 2.0 VCDi 130 LT 5d","Diesel",9.83333329261292,4,7.5999019592085,"Front",4.86753445045558,5.44673737166631,9.9,4.79579054559674,47,1655,4652,1836,1633,"no","standard","standard","no","no","standard","no","no","no","standard","standard","no","standard","USA"
"Chevrolet Spark","Chevrolet","Spark","Spark 1.2 LS 5d","Petrol",9.1689974084418,4,7.09506437728713,"Front",4.39444915467244,4.39444915467244,12.1,4.62497281328427,55,864,3640,1597,1522,"no","no","no/optional","no","no","no","no","no","no","no","standard","no","optional","USA"
"Chevrolet Volt","Chevrolet","Volt","Volt 1.4 EREV Standard 5d","Petrol",10.4703626421531,4,7.24279792279376,"Front",4.45434729625351,5.605802066296,9,4.59511985013459,235,1732,4498,1787,1439,"no","no","standard","standard","standard","standard","no","no","standard","standard","standard","no","standard","USA"
"Chrysler 300C","Chrysler","300C","300C 3.0 CRD Executive 4d","Diesel",10.5965097252829,6,8.00570067866254,"Rear",5.46383180502561,5.98896141688986,7.4,4.969813299576,39,2117,5066,1902,1488,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","USA"
"Chrysler Delta","Chrysler","Delta","Delta 1.4 M-Air 140 SE 5d","Petrol",9.79784922051313,4,7.2211050981825,"Front",4.9416424226093,5.13579843705026,9.2,4.83628190695148,49,1395,4520,1797,1497,"optional","standard","standard","no","optional","optional","optional","no","optional","optional","standard","optional","standard","USA"
"Chrysler Grand Voyager","Chrysler","Grand Voyager","Grand Voyager 2.8 CRD SR 5d","Diesel",10.317086160541,4,7.9291264873068,"Front",5.18178355029209,5.57972982598622,12.8,4.74493212836325,35,2305,5218,1998,1818,"no","no","standard","no","standard","standard","standard","standard","no","standard","standard","optional","standard","USA"
"Chrysler Ypsilon","Chrysler","Ypsilon","Ypsilon 1.2 SE 5d","Petrol",9.39224517527379,4,7.12447826249342,"Front",4.23410650459726,4.31748811353631,14,4.61512051684126,57,965,3842,1676,1520,"no","no","no/optional","no","optional","optional","optional","no","no","optional","standard","no","optional","USA"
"Citroen C1","Citroen","C1","C1 1.0 68 VTR 3d","Petrol",9.10442414638463,3,6.90575327631146,NA,4.21950770517611,4.24849524204936,14.2,4.60517018598809,65,NA,NA,NA,NA,"no","no","no/optional","no","optional","no","no","no","no","no","no","no","optional","Europe"
"Citroen C3","Citroen","C3","C3 1.4 HDi 70 VTR+ 5d","Diesel",9.58809164151683,4,7.24279792279376,"Front",4.24849524204936,4.77068462446567,13.5,4.61512051684126,74,1145,3941,1728,1524,"no","standard","no/optional","no","standard","no","no","no","no","no","standard","optional","optional","Europe"
"Citroen C3 Picasso","Citroen","C3 Picasso","C3 Picasso 1.6 HDi 90 VTR+ 5d","Diesel",9.6417980603586,4,7.35244110024358,"Front",4.49980967033027,5.12989871492307,13.5,4.68213122712422,62,1329,4078,1766,1631,"optional","standard","no/optional","no","standard","optional","standard","no","no","no","standard","no","no","Europe"
"Citroen C4","Citroen","C4","C4 1.6 HDi 110 VTR+ 5d","Diesel",9.8545598789127,4,7.35244110024358,"Front",4.70048036579242,5.29330482472449,11.3,4.77068462446567,61,1440,4329,1789,1491,"optional","standard","no/optional","no","standard","optional","standard","no","no","standard","standard","optional","standard","Europe"
"Citroen C4 Picasso","Citroen","C4 Picasso","C4 Picasso 1.6 e-HDi 115 Airdream VTR+ 5d","Diesel",9.91615695563679,4,7.35244110024358,"Front",4.74493212836325,5.29330482472449,11.8,4.76217393479776,70,1298,4428,1826,1610,"standard","no","no/optional","optional","standard","standard","no","no","no","standard","no","optional","standard","Europe"
"Citroen C5","Citroen","C5","C5 1.6 e-HDi 110 Airdream EGS6 VTR+ NAV 4d","Diesel",10.0076223172681,4,7.35244110024358,"Front",4.70048036579242,5.29330482472449,12.6,4.77068462446567,61,1525,4779,1860,1451,"standard","no","standard","standard","standard","standard","standard","optional","optional","optional","no","standard","standard","Europe"
"Citroen C5 Tourer","Citroen","C5 Tourer","C5 1.6 e-HDi 110 Airdream EGS6 VTR+ NAV 5d Tourer","Diesel",10.0559940242509,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"no","no","no/optional","standard","no","no","no","optional","optional","no","no","no","standard","Europe"
"Citroen DS3","Citroen","DS3","DS3 1.6 THP 155 DSport 3d","Petrol",9.74390548271166,4,7.37650812632622,"Front",4.74493212836325,5.17614973257383,7.3,4.89034912822175,47,1223,3948,1715,1483,"no","standard","standard","no","no","standard","standard","no","no","no","standard","no","standard","Europe"
"Citroen DS4","Citroen","DS4","DS4 1.6 THP 155 EGS6 DStyle 5d","Petrol",9.97347992435616,4,7.37650812632622,"Front",5.04342511691925,5.17614973257383,9.9,4.89034912822175,43,1420,4275,1810,1523,"standard","standard","standard","standard","standard","standard","standard","no","optional","standard","standard","optional","standard","Europe"
"Citroen DS5","Citroen","DS5","DS5 2.0 HDi Hybrid4 200 Airdream DSign 5d","Diesel",10.2255710517052,4,7.59940133341582,"4WD",5.29831736654804,5.39816270151775,8.3,4.87519732320115,80,1856,4530,1871,1539,"standard","standard","standard","standard","standard","standard","standard","optional","optional","optional","standard","optional","standard","Europe"
"Corvette C6","Corvette","C6","6.2 V8 Convertible LHD","Petrol",11.1340341257971,8,8.72615667915661,"Rear",6.07993319509559,6.04973345523196,4.3,5.2257466737132,21,1460,4435,1844,1246,"no","no","standard","optional","no","standard","standard","standard","standard","no","standard","optional","standard","USA"
"Dacia Duster","Dacia","Duster","Duster 1.5 dCi 110 4x2 Ambiance 5d","Diesel",9.34966743719728,4,7.2868764117507,"Front",4.70048036579242,5.17614973257383,11.8,4.66343909411207,56,1205,4315,1822,1695,"no","no","no/optional","no","standard","no","no","no","no","no","standard","no","optional","Europe"
"Dacia Sandero","Dacia","Sandero","Sandero 1.2 75 Laureate 5d","Petrol",8.98657162526805,4,7.04664727784876,"Front",4.31748811353631,4.35670882668959,14.5,4.57471097850338,47,941,4058,1732,1518,"no","no","no/optional","no","optional","no","standard","no","optional","optional","standard","optional","standard","Europe"
"Ferrari 458","Ferrari","458","458 Italia 4.5 V8 Spider 2d","Petrol",12.2007384439395,8,8.41161042884117,"Rear",6.33150184989369,5.98645200528444,3.4,5.28826703069454,21,1430,4527,1937,1211,"no","standard","standard","standard","standard","standard","optional","optional","standard","optional","standard","optional","standard","Europe"
"Ferrari California","Ferrari","California","California 4.3 V8 30 2d","Petrol",11.9323986666662,8,8.365672383775,"Rear",6.19440539110467,5.91079664404053,3.8,5.26785815906333,21,1600,NA,NA,NA,"standard","standard","standard","no","standard","standard","optional","standard","standard","standard","standard","standard","standard","Europe"
"Ferrari F12","Ferrari","F12","F12 6.3 V12 berlinetta 2d","Petrol",12.3855443119081,12,8.74225490188635,"Rear",6.60665018619822,6.23048144757848,3.1,5.35185813347607,18,NA,4618,1942,1273,"standard","standard","no/optional","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Ferrari FF","Ferrari","FF","FF 6.3 V12 4d","Petrol",12.3331765510444,12,8.74225490188635,"4WD",6.49223983502047,6.22059017009974,3.7,5.33753807970132,18,1790,4905,1955,1380,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","Europe"
"Fiat 500","Fiat","500","500 1.3 MultiJet 95 Pop 3d","Petrol",9.41735454136051,4,7.12929754892937,"Front",4.55387689160054,5.01063529409626,11.7,4.70953020131233,72,980,3546,1627,1488,"no","no","no/optional","no","optional","optional","no","no","optional","optional","standard","no","optional","Europe"
"Fiat 500 Abarth","Fiat","500 Abarth","Abarth 500 1.4 T-Jet 160 595 Turismo 3d","Petrol",9.78273135140033,4,7.2211050981825,"Front",5.07517381523383,5.12989871492307,7.4,4.87519732320115,43,1075,3660,1630,1490,"no","no","no/optional","optional","standard","optional","no","no","optional","standard","standard","optional","standard","Europe"
"Fiat 500L","Fiat","500L","500L 0.9 TwinAir 105 Easy 5d","Petrol",9.71050941555364,2,6.77422388635761,"Front",4.65396035015752,4.66343909411207,12.3,4.71849887129509,58,1260,4147,1784,1667,"optional","standard","no/optional","no","standard","optional","standard","no","no","standard","standard","no","standard","Europe"
"Fiat Bravo","Fiat","Bravo","Bravo Series 2 1.4 MultiAir 140 Easy 5d","Petrol",9.75846178048587,4,7.2211050981825,"Front",4.9416424226093,5.12989871492307,8.9,4.83628190695148,49,1275,4336,1792,1498,"optional","standard","no/optional","no","standard","optional","optional","no","optional","optional","standard","no","standard","Europe"
"Fiat Doblo","Fiat","Doblo","Doblo 1.6 MultiJet 105 Active 2010 5d","Diesel",9.6614159913364,4,7.37650812632622,"Front",4.65396035015752,5.36129216570943,13.4,4.62497281328427,54,1410,4390,1832,1845,"no","standard","no/optional","no","no","no","no","no","no","no","standard","no","standard","Europe"
"Fiat Panda","Fiat","Panda","Panda 0.9 TwinAir 85 Lounge 5d","Petrol",9.32812340763257,2,6.77422388635761,"Front",4.44265125649032,4.66343909411207,11.2,4.70048036579242,67,1050,3653,1643,1551,"no","no","no/optional","optional","optional","optional","no","no","no","optional","standard","optional","optional","Europe"
"Fiat Punto Evo","Fiat","Punto Evo","Punto 1.4 MultiAir Abarth 3d","Petrol",9.76967040480179,4,7.2211050981825,"Front",5.10594547390058,5.21493575760899,7.9,4.88280192258637,47,1100,4064,1726,1490,"no","standard","no/optional","no","standard","optional","standard","no","no","no","standard","no","standard","Europe"
"Ford B-Max","Ford","B-Max","B-Max 1.5 TDCi 75 Zetec 5d","Diesel",9.74067446213022,4,7.31055015853442,"Front",4.31748811353631,4.9416424226093,16.5,4.58496747867057,68,NA,NA,NA,NA,"no","standard","standard","no","standard","no","no","no","no","optional","standard","no","standard","USA"
